Have you decided to use another antivirus? If so, which one? ,no,5944
How would you characterize your overall experience with Avira?,good,4611
What can we change about Avira Free Antivirus to win you back?,nothing,3980
Can you tell us why you decided to uninstall Avira Free Antivirus?,no,3903
Can you tell us why you decided to uninstall Avira Free Antivirus?,i,3234
Have you decided to use another antivirus? If so, which one? ,yes,3127
What can we change about Avira Free Antivirus to win you back?,no,2607
Can you tell us why you decided to uninstall Avira Free Antivirus?,it,2405
Can you tell us why you decided to uninstall Avira Free Antivirus?,update,2224
Have you decided to use another antivirus? If so, which one? ,avast,1762
What can we change about Avira Free Antivirus to win you back?,i,1454
Have you decided to use another antivirus? If so, which one? ,avg,1414
Can you tell us why you decided to uninstall Avira Free Antivirus?,not,1340
How would you characterize your overall experience with Avira?,ok,1328
Can you tell us why you decided to uninstall Avira Free Antivirus?,antivirus,1268
Can you tell us why you decided to uninstall Avira Free Antivirus?,because,1201
Can you tell us why you decided to uninstall Avira Free Antivirus?,computer,1167
How would you characterize your overall experience with Avira?,no,1158
What can we change about Avira Free Antivirus to win you back?,make,1104
Can you tell us why you decided to uninstall Avira Free Antivirus?,avira,1099
What can we change about Avira Free Antivirus to win you back?,free,1047
Can you tell us why you decided to uninstall Avira Free Antivirus?,virus,968
Can you tell us why you decided to uninstall Avira Free Antivirus?,install,900
Can you tell us why you decided to uninstall Avira Free Antivirus?,version,818
How would you characterize your overall experience with Avira?,bad,805
Have you decided to use another antivirus? If so, which one? ,not,803
Can you tell us why you decided to uninstall Avira Free Antivirus?,free,801
Can you tell us why you decided to uninstall Avira Free Antivirus?,too,784
Can you tell us why you decided to uninstall Avira Free Antivirus?,need,781
Have you decided to use another antivirus? If so, which one? ,avira,781
Can you tell us why you decided to uninstall Avira Free Antivirus?,working,780
Can you tell us why you decided to uninstall Avira Free Antivirus?,pop,771
Can you tell us why you decided to uninstall Avira Free Antivirus?,program,771
What can we change about Avira Free Antivirus to win you back?,know,757
What can we change about Avira Free Antivirus to win you back?,update,756
Can you tell us why you decided to uninstall Avira Free Antivirus?,slow,729
Can you tell us why you decided to uninstall Avira Free Antivirus?,up,721
Can you tell us why you decided to uninstall Avira Free Antivirus?,reinstall,704
Have you decided to use another antivirus? If so, which one? ,norton,682
How would you characterize your overall experience with Avira?,not,674
Can you tell us why you decided to uninstall Avira Free Antivirus?,don,654
Can you tell us why you decided to uninstall Avira Free Antivirus?,yes,649
Can you tell us why you decided to uninstall Avira Free Antivirus?,work,643
What can we change about Avira Free Antivirus to win you back?,more,622
Can you tell us why you decided to uninstall Avira Free Antivirus?,can,613
How would you characterize your overall experience with Avira?,very,612
Have you decided to use another antivirus? If so, which one? ,yet,588
How would you characterize your overall experience with Avira?,it,587
Can you tell us why you decided to uninstall Avira Free Antivirus?,pc,578
What can we change about Avira Free Antivirus to win you back?,don,572
What can we change about Avira Free Antivirus to win you back?,avira,552
Can you tell us why you decided to uninstall Avira Free Antivirus?,to,544
What can we change about Avira Free Antivirus to win you back?,pop,535
Can you tell us why you decided to uninstall Avira Free Antivirus?,annoying,531
Have you decided to use another antivirus? If so, which one? ,i,528
Can you tell us why you decided to uninstall Avira Free Antivirus?,updates,526
What can we change about Avira Free Antivirus to win you back?,yes,525
Have you decided to use another antivirus? If so, which one? ,microsoft,524
What can we change about Avira Free Antivirus to win you back?,be,515
Can you tell us why you decided to uninstall Avira Free Antivirus?,good,507
Can you tell us why you decided to uninstall Avira Free Antivirus?,s,501
What can we change about Avira Free Antivirus to win you back?,you,497
Can you tell us why you decided to uninstall Avira Free Antivirus?,one,496
How would you characterize your overall experience with Avira?,great,496
Can you tell us why you decided to uninstall Avira Free Antivirus?,you,495
Can you tell us why you decided to uninstall Avira Free Antivirus?,ups,495
Can you tell us why you decided to uninstall Avira Free Antivirus?,other,493
Can you tell us why you decided to uninstall Avira Free Antivirus?,use,492
Can you tell us why you decided to uninstall Avira Free Antivirus?,system,492
What can we change about Avira Free Antivirus to win you back?,stop,480
What can we change about Avira Free Antivirus to win you back?,it,472
Can you tell us why you decided to uninstall Avira Free Antivirus?,software,450
Can you tell us why you decided to uninstall Avira Free Antivirus?,windows,444
What can we change about Avira Free Antivirus to win you back?,less,434
What can we change about Avira Free Antivirus to win you back?,fix,433
How would you characterize your overall experience with Avira?,i,427
Have you decided to use another antivirus? If so, which one? ,security,416
Can you tell us why you decided to uninstall Avira Free Antivirus?,got,412
Have you decided to use another antivirus? If so, which one? ,kaspersky,406
Can you tell us why you decided to uninstall Avira Free Antivirus?,anti,404
What can we change about Avira Free Antivirus to win you back?,better,402
What can we change about Avira Free Antivirus to win you back?,n,396
What can we change about Avira Free Antivirus to win you back?,version,389
What can we change about Avira Free Antivirus to win you back?,ups,388
Can you tell us why you decided to uninstall Avira Free Antivirus?,time,384
Can you tell us why you decided to uninstall Avira Free Antivirus?,much,383
Can you tell us why you decided to uninstall Avira Free Antivirus?,try,380
What can we change about Avira Free Antivirus to win you back?,work,379
What can we change about Avira Free Antivirus to win you back?,back,378
Can you tell us why you decided to uninstall Avira Free Antivirus?,just,377
Can you tell us why you decided to uninstall Avira Free Antivirus?,down,373
Can you tell us why you decided to uninstall Avira Free Antivirus?,protection,373
Have you decided to use another antivirus? If so, which one? ,essentials,371
Have you decided to use another antivirus? If so, which one? ,free,364
What can we change about Avira Free Antivirus to win you back?,up,363
Can you tell us why you decided to uninstall Avira Free Antivirus?,problem,360
Can you tell us why you decided to uninstall Avira Free Antivirus?,ads,359
Can you tell us why you decided to uninstall Avira Free Antivirus?,do,358
Can you tell us why you decided to uninstall Avira Free Antivirus?,updating,356
What can we change about Avira Free Antivirus to win you back?,antivirus,354
What can we change about Avira Free Antivirus to win you back?,good,350
Have you decided to use another antivirus? If so, which one? ,antivirus,339
Can you tell us why you decided to uninstall Avira Free Antivirus?,dont,338
What can we change about Avira Free Antivirus to win you back?,just,338
What can we change about Avira Free Antivirus to win you back?,ads,337
Can you tell us why you decided to uninstall Avira Free Antivirus?,its,334
Can you tell us why you decided to uninstall Avira Free Antivirus?,again,330
What can we change about Avira Free Antivirus to win you back?,virus,328
What can we change about Avira Free Antivirus to win you back?,not,326
Can you tell us why you decided to uninstall Avira Free Antivirus?,problems,326
What can we change about Avira Free Antivirus to win you back?,get,324
Have you decided to use another antivirus? If so, which one? ,one,313
Can you tell us why you decided to uninstall Avira Free Antivirus?,product,312
Can you tell us why you decided to uninstall Avira Free Antivirus?,new,310
Can you tell us why you decided to uninstall Avira Free Antivirus?,popups,308
Can you tell us why you decided to uninstall Avira Free Antivirus?,re,308
Have you decided to use another antivirus? If so, which one? ,none,307
Can you tell us why you decided to uninstall Avira Free Antivirus?,be,307
Have you decided to use another antivirus? If so, which one? ,n,306
How would you characterize your overall experience with Avira?,until,298
Can you tell us why you decided to uninstall Avira Free Antivirus?,better,294
How would you characterize your overall experience with Avira?,fine,294
Can you tell us why you decided to uninstall Avira Free Antivirus?,restart,293
What can we change about Avira Free Antivirus to win you back?,updates,292
How would you characterize your overall experience with Avira?,s,282
What can we change about Avira Free Antivirus to win you back?,computer,281
Can you tell us why you decided to uninstall Avira Free Antivirus?,m,280
Can you tell us why you decided to uninstall Avira Free Antivirus?,n,280
Can you tell us why you decided to uninstall Avira Free Antivirus?,like,279
Can you tell us why you decided to uninstall Avira Free Antivirus?,properly,277
How would you characterize your overall experience with Avira?,avira,277
How would you characterize your overall experience with Avira?,so,276
What can we change about Avira Free Antivirus to win you back?,s,274
Can you tell us why you decided to uninstall Avira Free Antivirus?,the,270
